Risk Rating,Country Code,Institution,Kind,Security credentials,End-user lists,Espionage or misconduct
HIGH,CN,Suzhou Institute of Biomedical Engineering and Technology,Chinese Academy of Sciences,,,
HIGH,CN,Xiyuan Hospital,,,,
HIGH,CN,Southwest Hospital,Military,,,
HIGH,CN,Beijing Institute of Petrochemical Technology,,,,
HIGH,CN,Affiliated Hospital of Jiangsu University,,,,
HIGH,CN,PLA Army Engineering University,,,,
HIGH,CN,National Institute of Metrology,Chinese Academy of Sciences,,,
HIGH,CN,Beijing Academy of Science and Technology,,,,
HIGH,CN,Qingdao Institute of Marine Geology,,,,
MEDIUM,CN,China Three Gorges Corporation,State-owned enterprise,,,
HIGH,CN,Shandong Jiaotong University,,,,
HIGH,CN,Jiujiang University,,,,
MEDIUM,CN,Beijing Academy of Quantum Information Sciences,Chinese Academy of Sciences,,,
HIGH,CN,Shangqiu Normal University,,,,
MEDIUM,CN,China Mobile,State-owned enterprise,,,
HIGH,CN,The People's Hospital of Guangxi Zhuang Autonomous Region,,,,
HIGH,CN,Xinqiao Hospital,Military,,,
HIGH,CN,Xinjiang Medical University,,,,
HIGH,CN,Changchun University of Technology,,,,
HIGH,CN,First Hospital of Lanzhou University,,,,
MEDIUM,CN,SenseTime,,,,
MEDIUM,CN,Luoyang Institute of Science and Technology,,,,
HIGH,CN,Eastern Hepatobiliary Surgery Hospital,Military,,,
MEDIUM,CN,China Academy of Launch Vehicle Technology,,,,
HIGH,CN,First Hospital of Qinhuangdao,,,,
HIGH,CN,Zhengzhou Normal University,,,,
HIGH,CN,General Hospital of Shenyang Military Region,,,,
HIGH,CN,Xinjiang Normal University,,,,
MEDIUM,CN,CRRC,State-owned enterprise,,,
MEDIUM,CN,Inspur,,,,
MEDIUM,CN,Wuhan Ship Development & Design Institute,,,,
HIGH,CN,Air Force General Hospital PLA,,,,
MEDIUM,CN,China Communications Construction Company,State-owned enterprise,,,
HIGH,CN,Tumor Hospital of Guangxi Medical University,,,,
MEDIUM,CN,China Telecom,State-owned enterprise,,,
MEDIUM,CN,China Telecommunications Corporation,State-owned enterprise,,,
HIGH,CN,Chongqing Academy of Animal Science,,,,
HIGH,CN,Chengdu Military General Hospital,,,,
MEDIUM,CN,Beijing Microelectronics Technology Institute,,,,
MEDIUM,CN,China State Construction Engineering,State-owned enterprise,,,
MEDIUM,CN,Beijing Meteorological Bureau,,,,
MEDIUM,CN,Megvii,,,,
MEDIUM,CN,Shanghai Academy of Spaceflight Technology,Defence industry conglomerate,,Yes,
MEDIUM,CN,ZTE,,,,
MEDIUM,CN,China United Network Communications Group,State-owned enterprise,,,
MEDIUM,CN,Bejing Institute of Aeronautical Materials,,,,
HIGH,CN,General Hospital of Guangzhou Military Command,,,,
MEDIUM,CN,Dà-Jiāng Innovations Science and Technology,,,,
HIGH,CN,302 Military Hospital of China,,,,
HIGH,CN,Fuzhou General Hospital of Nanjing Military Command,,,,
HIGH,CN,Academy of Military Transportation,,,,
HIGH,CN,Sichuan Cancer Hospital,,,,
HIGH,CN,Hebei Semiconductor Research Institute,Defence industry conglomerate,,,
MEDIUM,CN,Nanjing Institute of Astronomical Optics & Technology,,,,
HIGH,CN,PLA 306 Hospital,,,,
HIGH,CN,PLA Air Force Aviation University,,,,
MEDIUM,CN,China Railway Construction Corporation,State-owned enterprise,,,
HIGH,CN,Institute of Electronics,,,,
MEDIUM,CN,Fiberhome Technology Group,State-owned enterprise,,,
MEDIUM,CN,Jinan Institute of Quantum Technology,,,,
HIGH,CN,Hainan Branch of People's Liberation Army General Hospital,,,,
HIGH,CN,Kunming General Hospital of Chengdu Military Command,,,,
MEDIUM,CN,CSSC Offshore & Marine Engineering Company,,,,
HIGH,CN,The Military General Hospital of Beijing PLA,,,,
HIGH,CN,China Information Technology Security Evaluation Center,,,,
HIGH,CN,China Information Security Evaluation Center,,,,
MEDIUM,CN,Delta Electronics,,,,
HIGH,CN,The 180th Hospital of PLA,,,,
HIGH,CN,303 Hospital of People's Liberation Army,,,,
MEDIUM,CN,Beijing Research Institute of Automation for Machinery Industry,State-owned enterprise,,,
MEDIUM,CN,Dahua Technology,,,,
MEDIUM,CN,iFlytek,,,,
HIGH,CN,PLA Navy General Hospital,,,,
MEDIUM,CN,BARGAWINE HONG KONG LIMITED,,,,
MEDIUM,CN,"SZ DJI TECHNOLOGY CO., LTD.",,,,
MEDIUM,CN,"SINOTECH INDUSTRY CO., LTD.",,,,
MEDIUM,CN,"SHENZHEN JIASIBO TECHNOLOGY CO., LTD.",,,,
MEDIUM,CN,LIBERTY SHIPPING CO LTD,,,,
MEDIUM,CN,ZHIHANG SHIP MANAGEMENT SHANGHAI CO LTD,,,,
MEDIUM,CN,CIELO MARITIME LTD,,,,
MEDIUM,CN,"AVIC Jonhon Optronic Technology Co., Ltd.",,,,
MEDIUM,CN,JINAN KEWEI OPTICS CO LTD,,,,
MEDIUM,CN,MORNSUN GUANGZHOU SCIENCE AND TECHNOLOGY CO LTD,,,,
MEDIUM,CN,"Jiangxi Hongdu Aviation Industry Co., Ltd.",,,,
MEDIUM,CN,"BEIJING JINGHUA QIDI ELECTRONIC TECHNOLOGY CO., LTD.",,,,
MEDIUM,CN,"SHANDONG QIWANGWA PETROCHEMICAL CO., LTD.",,,,
MEDIUM,CN,"DALIAN ZHONGCHUANG CHAR-WHITE CO., LTD.",,,,
MEDIUM,CN,CHINA SHIPBUILDING INDUSTRY COMPANY LIMITED,,,,
MEDIUM,CN,"GUIZHOU SPACE APPLIANCE CO., LTD.",,,,
MEDIUM,CN,"JIANGSU BANGDEYA NEW MATERIAL TECHNOLOGY CO., LTD.",,,,
MEDIUM,CN,"China United Network Communications Group Co., Ltd.",,,,
MEDIUM,CN,SHAANXI ZHONGTIAN ROCKET TECHNOLOGY COMPANY LIMITED,,,,
MEDIUM,CN,"AVIC XI'AN AIRCRAFT INDUSTRY GROUP CO., LTD.",,,,
MEDIUM,CN,SHENZHEN JINGHON ELECTRONICS LIMITED,,,,
MEDIUM,CN,CHANGSHA JINGJIA MICROELECTRONICS COMPANY LIMITED,,,,
MEDIUM,CN,CHENGDU JINGXIN TECHNOLOGY CO LTD,,,,
MEDIUM,CN,CHINA COMMUNICATIONS CONSTRUCTION GROUP LIMITED,,,,
MEDIUM,CN,"NORTH NAVIGATION CONTROL TECHNOLOGY CO., LTD.",,,,
MEDIUM,CN,"WUHAN MAIWE COMMUNICATION CO., LTD.",,,,
MEDIUM,CN,"DAWNING INFORMATION INDUSTRY CO., LTD.",,,,
MEDIUM,CN,"YANBIAN SILVERSTAR NETWORK TECHNOLOGY CO., LTD.",,,,
MEDIUM,CN,TIANJIN CREATIVE SOURCE INTERNATIONAL TRADE CO LTD,,,,
MEDIUM,CN,"SHENZHEN SHENCHUANGHUI TECHNOLOGY CO., LTD.",,,,
MEDIUM,CN,"BEIJING HIGHLANDER DIGITAL TECHNOLOGY CO., LTD.",,,,
MEDIUM,CN,"NOVATEK CHINA HOLDINGS CO., LTD.",,,,
MEDIUM,CN,"Zhonghang Electronic Measuring Instruments Co., Ltd.",,,,
MEDIUM,CN,CHINA SHIPBUILDING INDUSTRY GROUP POWER COMPANY LIMITED,,,,
MEDIUM,CN,"BEIJING ALITE TECHNOLOGIES CO., LTD.",,,,
MEDIUM,CN,ALLCHIPS LIMITED,,,,
MEDIUM,CN,"CHONGQING ZONGSHEN AERO ENGINE MANUFACTURING CO., LTD.",,,,
MEDIUM,CN,"RAYTRONIC CORPORATION, LIMITED",,,,
MEDIUM,CN,Semiconductor Manufacturing International Corporation,,,,
MEDIUM,CN,"CHINA SATELLITE COMMUNICATIONS CO., LTD.",,,,
MEDIUM,CN,BEIJING SUKBAKSO,,,,
MEDIUM,CN,"SHENZHEN YASON GENERAL MACHINERY CO., LTD. NANCHANG BRANCH",,,,
MEDIUM,CN,"KING-PAI TECHNOLOGY HK CO., LTD.",,,,
MEDIUM,CN,"GRANPECT CO., LTD.",,,,
MEDIUM,CN,"AGU INFORMATION TECHNOLOGY CO., LTD.",,,,
MEDIUM,CN,CHINA HEAD AEROSPACE TECHNOLOGY COMPANY,,,,
MEDIUM,CN,"SHENZHEN CITY MEAN WELL ELECTRONICS CO., LTD.",,,,
MEDIUM,CN,"SUZHOU XIAOLI PHARMATECH CO., LTD.",,,,
MEDIUM,CN,"JINHOU INTERNATIONAL HOLDINGS CO., LTD.",,,,
MEDIUM,CN,"Costar Group Co., Ltd.",,,,
MEDIUM,CN,"DANDONG HONGXIANG INDUSTRIAL DEVELOPMENT CO., LTD.",,,,
MEDIUM,CN,"ASIALINK SHANGHAI INTL LOGISTICS CO., LTD.",,,,
MEDIUM,CN,"SHENZHEN HUASHUO SEMICONDUCTOR CO., LTD.",,,,
MEDIUM,CN,"HEBEI GUANLANG BIOTECHNOLOGY CO., LTD.",,,,
MEDIUM,CN,"UU INNOVATION TECHNOLOGY CO., LTD.",,,,
MEDIUM,CN,"SHANGHAI TECHINITAL MATERIALS CO., LTD.",,,,
MEDIUM,CN,"HENAN JIAYUAN ALUMINIUM INDUSTRY CO., LTD.",,,,
MEDIUM,CN,"ABASCIENCE TECH CO., LTD.",,,,
MEDIUM,CN,"SHENZHEN HUASHENG INDUSTRY CO., LTD.",,,,
MEDIUM,CN,"SUZHOU ZHONGSHENG MAGNETIC INDUSTRY CO., LTD.",,,,
MEDIUM,CN,YINKE HK ELECTRONICS COMPANY LIMITED,,,,
MEDIUM,CN,CHINA NUCLEAR ENGINEERING CORPORATION LIMITED,,,,
MEDIUM,CN,"CHINA AEROSPACE TIMES ELECTRONICS CO., LTD",,,,
MEDIUM,CN,"BEIJING DEEPCOOL INDUSTRIES CO., LTD.",,,,
MEDIUM,CN,RUI EN KOO TECHNOLOGY CO LIMITED,,,,
MEDIUM,CN,"CHANGSHA TIANYI SPACE SCIENCE AND TECHNOLOGY RESEARCH INSTITUTE CO., LTD.",,,,
MEDIUM,CN,EMC SUD LIMITED,,,,
MEDIUM,CN,"KAIKAI TECHNOLOGY CO., LTD.",,,,
MEDIUM,CN,"IZZITION E-TECHNOLOGY CO., LTD.",,,,
MEDIUM,CN,YILUFA ELECTRONICS LIMITED,,,,
MEDIUM,CN,"WUHAN GLOBAL SENSOR TECHNOLOGY CO., LTD.",,,,
MEDIUM,CN,GUANGZHOU ALSHAHARI UNITED CORPORATION LIMITED,,,,
MEDIUM,CN,ARTTRONIX INTERNATIONAL HK LIMITED,,,,
MEDIUM,CN,"Huawei Investment & Holding Co., Ltd.",,,,
MEDIUM,CN,XIN QUAN ELECTRONICS CO LIMITED,,,,
MEDIUM,CN,"SHENZHEN RION TECHNOLOGY CO., LTD.",,,,
MEDIUM,CN,AVIC Shenyang Aircraft Company Limited,,,,
MEDIUM,CN,"Inner Mongolia First Machinery Group Co., Ltd.",,,,
MEDIUM,CN,"SHANDONG OREE LASER TECHNOLOGY CO., LTD.",,,,
MEDIUM,CN,"HANGZHOU KEMING INTELLIGENT TECHNOLOGY CO., LTD.",,,,
MEDIUM,CN,"BEIJING YUNZE TECHNOLOGY CO., LTD.",,,,
MEDIUM,CN,"HUAWEI DEVICE CO., LTD.",,,,
MEDIUM,CN,"Hangzhou Hikvision Digital Technology Co., Ltd.",,,,
MEDIUM,CN,"ZHEJIANG ZHENHUAN CNC MACHINE TOOL CO., LTD.",,,,
MEDIUM,CN,GKER LASER TECHNOLOGY CO LTD,,,,
MEDIUM,CN,RAYBEAM OPTRONICS CO. LTD.,,,,
MEDIUM,CN,"BEIJING XINGHUA HENGCHENG TECHNOLOGY DEVELOPMENT CO., LTD. ",,,,
MEDIUM,CN,JOTRIN ELECTRONICS LIMITED,,,,
MEDIUM,CN,"Huawei Technologies Co., Ltd.",,,,
MEDIUM,CN,"Jiangxi Mingzheng Intelligent Electrical Co., Ltd.",,,,
MEDIUM,CN,"FOSHAN GOLDEN AGE MOTOR TECHNOLOGY CO., LTD.",,,,
MEDIUM,CN,"SHANGHAI JARRED INDUSTRIAL CO., LTD.",,,,
MEDIUM,CN,LL ELECTRONIC LIMITED,,,,
MEDIUM,CN,"CHINA SPACESAT CO., LTD.",,,,
MEDIUM,CN,"CHANG GUANG SATELLITE TECHNOLOGY CO., LTD.",,,,
MEDIUM,CN,WARGOS INDUSTRY LIMITED,,,,
MEDIUM,CN,"YIDATONG TIANJIN METAL MATERIALS CO., LTD.",,,,
MEDIUM,CN,SINOTECH DALIAN CARBON AND GRAPHITE MANUFACTURING CORPORATION,,,,
MEDIUM,CN,"KARAT INDUSTRY CO., LTD.",,,,
MEDIUM,CN,"QINSHENG PHARMACEUTICAL TECHNOLOGY CO., LTD.",,,,
MEDIUM,CN,"YANTAI IRAY TECHNOLOGY CO., LTD.",,,,
MEDIUM,CN,"WUHAN SHUOKANG BIOLOGICAL TECHNOLOGY CO., LTD.",,,,
